year,state,residential,commercial,industrial,total
1994,WV,6.36,5.83,3.98,5.25
1994,WY,6.04,5.02,3.51,4.26
1995,AK,11.24,9.54,8.38,10.17
1995,AL,6.71,6.73,4.05,5.47
1995,AR,7.98,6.83,4.51,6.27
1995,AZ,9.09,8.06,5.26,7.62
1995,CA,11.61,10.49,7.37,9.91
1995,CO,7.42,6.07,4.52,6.12
1995,CT,11.95,10.33,7.94,10.5
1995,DC,7.62,7.15,4.36,7.12
1995,DE,9.09,7.08,4.72,6.91
1995,FL,7.82,6.39,5.16,7.01
1995,GA,7.85,7.32,4.52,6.62
1995,HI,13.32,12.16,9.27,11.29
1995,IA,8.24,6.44,3.94,6.03
1995,ID,5.33,4.48,2.81,4.09
1995,IL,10.37,7.88,5.27,7.69
1995,IN,6.74,5.92,3.94,5.24
1995,KS,7.92,6.68,4.82,6.56
1995,KY,5.62,5.25,2.93,4.07
1995,LA,7.23,6.77,3.97,5.75
1995,MA,11.26,9.93,8.41,10.12
1995,MD,8.43,6.91,4.23,7.06
1995,ME,12.51,10.28,6.65,9.49
1995,MI,8.34,7.86,5.13,7.05
1995,MN,7.17,6.19,4.3,5.58
1995,MO,7.25,6.18,4.53,6.25
1995,MS,6.99,7.01,4.44,5.98
1995,MT,6.09,5.31,3.44,4.65
1995,NC,8.12,6.47,4.85,6.58
1995,ND,6.23,6.2,4.5,5.71
1995,NE,6.37,5.56,3.84,5.4
1995,NH,13.5,11.38,9.56,11.72
1995,NJ,11.98,10.23,8.15,10.44
1995,NM,8.93,7.91,4.4,6.77
1995,NV,7.11,6.75,5.05,6.1
1995,NY,13.9,11.92,5.79,11.06
1995,OH,8.6,7.68,4.17,6.24
1995,OK,6.82,5.78,3.75,5.57
1995,OR,5.49,5.06,3.47,4.67
1995,PA,9.72,8.33,5.92,7.93
1995,RI,11.47,10.08,8.87,10.38
1995,SC,7.53,6.35,4,5.69
1995,SD,7.08,6.55,4.43,6.2
1995,TN,5.91,6.65,4.5,5.21
1995,TX,7.71,6.64,3.98,6.1
1995,US,8.4,7.69,4.66,6.89
1995,UT,6.94,5.92,3.72,5.3
1995,VA,7.84,6.07,4.16,6.26
1995,VT,10.52,9.8,7.56,9.46
1995,WA,4.97,4.82,2.96,4.1
1995,WI,6.97,5.78,3.78,5.36
1995,WV,6.5,5.86,4.03,5.34
1995,WY,6.09,5.11,3.5,4.32
1996,AK,11.36,9.58,8.47,10.24
1996,AL,6.63,6.49,3.9,5.35
1996,AR,7.77,6.74,4.47,6.15
1996,AZ,8.95,7.97,5.19,7.54
1996,CA,11.33,9.83,6.97,9.48
1996,CO,7.49,5.93,4.35,6.05
1996,CT,12.05,10.29,7.86,10.51
1996,DC,7.77,7.4,4.36,7.35
1996,DE,8.97,7,4.68,6.88
1996,FL,7.99,6.63,5.11,7.18
1996,GA,7.66,7.17,4.29,6.43
1996,HI,14.26,12.99,10.03,12.12
1996,IA,8.16,6.53,3.91,5.94
1996,ID,5.28,4.26,2.68,3.96
1996,IL,10.34,7.97,5.24,7.69
1996,IN,6.77,5.94,3.93,5.23
1996,KS,7.86,6.67,4.7,6.52
1996,KY,5.55,5.19,2.92,4.03
1996,LA,7.55,7.12,4.32,6.07
1996,MA,11.25,9.94,8.43,10.13
1996,MD,8.26,6.83,4.15,6.96
1996,ME,12.58,10.35,6.26,9.46
1996,MI,8.47,7.94,5.08,7.1
1996,MN,7.13,6.14,4.26,5.54
1996,MO,7.08,6.04,4.44,6.11
1996,MS,7.04,7.09,4.41,6.01
1996,MT,6.22,5.51,3.3,4.72
1996,NC,8.05,6.39,4.79,6.53
1996,ND,6.19,6.07,4.44,5.65
1996,NE,6.29,5.49,3.68,5.32
1996,NH,13.44,11.32,9.16,11.59
1996,NJ,11.99,10.32,8.15,10.5
1996,NM,8.93,7.93,4.35,6.76
1996,NV,6.9,6.61,4.9,5.95
1996,NY,14.04,12.08,5.62,11.13
1996,OH,8.6,7.71,4.21,6.3
1996,OK,6.71,5.8,3.78,5.56
1996,OR,5.69,5.15,3.41,4.77
1996,PA,9.73,8.34,5.93,7.96
1996,RI,11.81,10.14,8.51,10.48
1996,SC,7.5,6.38,3.89,5.67
1996,SD,7,6.57,4.45,6.18
1996,TN,5.88,6.64,4.52,5.24
1996,TX,7.77,6.71,4.03,6.16
1996,US,8.36,7.64,4.6,6.86
1996,UT,6.96,5.9,3.7,5.28
1996,VA,7.6,5.91,3.99,6.09
1996,VT,10.99,10.14,7.58,9.74
1996,WA,5.03,4.88,2.85,4.19
1996,WI,6.88,5.68,3.66,5.25
1996,WV,6.38,5.71,3.91,5.21
1996,WY,6.13,5.08,3.45,4.31
1997,AK,11.44,9.51,7.48,10.07
1997,AL,6.74,6.34,3.71,5.33
1997,AR,7.8,6.78,4.45,6.15
1997,AZ,8.82,7.83,5.05,7.38
1997,CA,11.5,9.98,6.95,9.54
1997,CO,7.42,5.77,4.28,5.95
1997,CT,12.13,10.28,7.76,10.52
1997,DC,7.87,7.43,4.42,7.39
1997,DE,9.22,7.19,4.82,7
1997,FL,8.08,6.62,5.04,7.19
1997,GA,7.74,7.11,4.13,6.37
1997,HI,14.8,13.26,10.32,12.49
1997,IA,8.21,6.61,3.95,5.97
1997,ID,5.15,4.17,2.6,3.87
1997,IL,10.43,7.93,5.29,7.71
1997,IN,6.94,6.04,3.91,5.29
1997,KS,7.71,6.47,4.51,6.31
1997,KY,5.58,5.29,2.8,4.03
1997,LA,7.39,6.99,4.39,5.99
1997,MA,11.59,10.29,8.78,10.48
1997,MD,8.33,6.86,4.21,6.98
1997,ME,12.75,10.39,6.36,9.51
1997,MI,8.57,7.84,4.97,7.04
1997,MN,7.23,6.23,4.33,5.61
1997,MO,7.09,6,4.46,6.09
1997,MS,7.02,6.69,4.12,5.91
1997,MT,6.4,5.8,3.66,5.2
1997,NC,8.03,6.43,4.71,6.48
1997,ND,6.27,6.15,4.38,5.65
1997,NE,6.38,5.46,3.61,5.3
1997,NH,13.67,11.35,9.06,11.66
1997,NJ,12.08,10.35,8.11,10.54
1997,NM,8.92,7.92,4.42,6.8
1997,NV,6.77,6.31,4.48,5.6
1997,NY,14.12,12.13,5.2,11.13
1997,OH,8.63,7.67,4.16,6.25
1997,OK,6.63,5.73,3.63,5.42
1997,OR,5.56,4.97,3.23,4.61
1997,PA,9.9,8.41,5.89,7.99
1997,RI,12.12,10.4,8.52,10.7
1997,SC,7.51,6.33,3.71,5.5
1997,SD,7.08,6.63,4.42,6.22
1997,TN,6.03,5.91,3.81,5.31
1997,TX,7.82,6.74,4.05,6.17
1997,US,8.43,7.59,4.53,6.85
1997,UT,6.89,5.72,3.49,5.17
1997,VA,7.75,5.97,4,6.14
1997,VT,11.45,10.33,7.44,9.89
1997,WA,4.95,4.79,2.59,4.04
1997,WI,6.88,5.6,3.72,5.22
1997,WV,6.26,5.54,3.71,5.02
1997,WY,6.22,5.27,3.46,4.33
1998,AK,11.5,9.48,7.17,9.97
1998,AL,6.94,6.54,3.89,5.56
1998,AR,7.51,5.9,4.16,5.78
1998,AZ,8.68,7.76,5.12,7.33
1998,CA,10.6,9.66,6.59,9.03
1998,CO,7.45,5.67,4.34,5.95
1998,CT,11.95,10.01,7.7,10.3
1998,DC,8,7.43,4.38,7.41
1998,DE,9.13,7.07,4.65,6.88
1998,FL,7.89,6.38,4.81,7.01
1998,GA,7.67,7.01,4.23,6.4
1998,HI,13.82,12.31,9.41,11.56
1998,IA,8.38,6.67,3.99,6.04
1998,ID,5.28,4.34,2.77,4.02
1998,IL,9.85,7.77,5.11,7.46
1998,IN,7.01,6.08,3.95,5.34
1998,KS,7.65,6.34,4.46,6.28
1998,KY,5.61,5.3,2.91,4.16
1998,LA,7.07,6.56,4.15,5.78
1998,MA,10.6,9.35,8.18,9.59
1998,MD,8.44,6.82,4.14,6.99
1998,ME,13.02,10.33,6.61,9.75
1998,MI,8.67,7.81,5.03,7.09
1998,MN,7.33,6.28,4.45,5.71
1998,MO,7.08,5.99,4.43,6.08
1998,MS,7.03,6.62,4.22,5.98
1998,MT,6.5,5.87,3.19,4.8
1998,NC,8.01,6.35,4.63,6.45
1998,ND,6.49,6.2,4.3,5.7
1998,NE,6.46,5.45,3.6,5.3
1998,NH,13.92,11.64,9.42,11.93
1998,NJ,11.39,10.09,7.94,10.17
1998,NM,8.85,7.8,4.47,6.78
1998,NV,7,6.5,4.57,5.76
1998,NY,13.66,11.63,4.95,10.71
1998,OH,8.7,7.67,4.3,6.38
1998,OK,6.57,5.66,3.65,5.43
1998,OR,5.82,5,3.5,4.9
1998,PA,9.93,8.26,5.63,7.86
1998,RI,10.91,9.26,7.61,9.58
1998,SC,7.5,6.24,3.69,5.53
1998,SD,7.27,6.62,4.44,6.26
1998,TN,6.32,6.28,4.17,5.62
1998,TX,7.65,6.57,3.94,6.07
1998,US,8.26,7.41,4.48,6.74
1998,UT,6.84,5.71,3.45,5.16
1998,VA,7.51,5.61,3.82,5.88
1998,VT,11.61,10.12,7.27,9.83
1998,WA,5.03,4.81,2.64,4.03
1998,WI,7.17,5.87,3.86,5.44
1998,WV,6.29,5.56,3.78,5.07
1998,WY,6.28,5.25,3.38,4.31
1999,AK,11.16,9.2,7.32,9.78
1999,AL,7.03,6.54,3.82,5.54
1999,AR,7.43,5.82,4.12,5.68
1999,AZ,8.53,7.51,5.04,7.23
1999,CA,10.64,9.44,6.27,8.75
1999,CO,7.38,5.61,4.38,5.95
1999,CT,11.46,9.69,7.42,9.96
1999,DC,8,7.47,4.59,7.45
1999,DE,9.17,7.39,4.71,7.1
1999,FL,7.73,6.22,4.77,6.85
1999,GA,7.56,6.67,4.15,6.24
1999,HI,14.3,12.74,9.7,11.97
1999,IA,8.35,6.45,3.89,5.93
1999,ID,5.26,4.2,2.63,3.89
1999,IL,8.83,7.38,4.99,6.96
1999,IN,6.96,6.05,3.89,5.29
1999,KS,7.64,6.25,4.47,6.22
1999,KY,5.58,5.27,2.99,4.17
1999,LA,7.12,6.59,4.25,5.81
1999,MA,10.09,8.64,7.53,8.99
1999,MD,8.39,6.82,4.26,7.04
1999,ME,13.07,10.51,6.42,9.77
1999,MI,8.73,7.85,5.03,7.12
1999,MN,7.41,6.31,4.56,5.83
1999,MO,7.12,5.96,4.38,6.06
1999,MS,6.75,6.19,4.02,5.65
1999,MT,6.78,6.35,2.74,4.77
1999,NC,7.99,6.33,4.57,6.44
1999,ND,6.5,6.19,4.04,5.49
1999,NE,6.52,5.44,3.57,5.31
1999,NH,13.64,11.18,9.19,11.6
1999,NJ,11.4,9.73,7.67,9.98
1999,NM,8.62,7.52,4.24,6.57
1999,NV,7.13,6.66,4.77,5.93
1999,NY,13.23,10.11,4.74,9.95
1999,OH,8.68,7.67,4.33,6.4
1999,OK,6.6,5.58,3.6,5.37
1999,OR,5.75,4.94,3.48,4.83
1999,PA,8.86,6.53,4.71,6.71
