year,state,source,generation
1991,AR,Coal,19644712
1991,AR,Hydro,3546966
1991,AR,Natural Gas,3324886
1991,AR,Nuclear,12661793
1991,AR,Petroleum,68257
1991,AZ,Total,67202551
1991,AZ,Coal,32557748
1991,AZ,Hydro,6735540
1991,AZ,Natural Gas,2226388
1991,AZ,Nuclear,25095776
1991,AZ,Petroleum,117399
1991,CA,Total,158947642
1991,CA,Coal,2632419
1991,CA,Hydro,21957064
1991,CA,Natural Gas,74006160
1991,CA,Nuclear,31541799
1991,CA,Petroleum,1970119
1991,CA,Solar,471361
1991,CA,Wind,2914505
1991,CO,Total,32321593
1991,CO,Coal,29134010
1991,CO,Hydro,1794290
1991,CO,Natural Gas,1314681
1991,CO,Petroleum,37910
1991,CT,Total,27036467
1991,CT,Coal,3633427
1991,CT,Hydro,433338
1991,CT,Natural Gas,1571856
1991,CT,Nuclear,12242911
1991,CT,Petroleum,7993224
1991,DE,Total,7838132
1991,DE,Coal,4820759
1991,DE,Natural Gas,1110236
1991,DE,Petroleum,1900822
1991,FL,Total,139416689
1991,FL,Coal,62013484
1991,FL,Hydro,263066
1991,FL,Natural Gas,19758810
1991,FL,Nuclear,20507569
1991,FL,Petroleum,30599959
1991,GA,Total,96173131
1991,GA,Coal,61034072
1991,GA,Hydro,4232058
1991,GA,Natural Gas,809826
1991,GA,Nuclear,26016023
1991,GA,Petroleum,541032
1991,HI,Total,8703235
1991,HI,Coal,7612
1991,HI,Hydro,70988
1991,HI,Petroleum,7714453
1991,HI,Wind,35621
1991,IA,Total,32267856
1991,IA,Coal,26756771
1991,IA,Hydro,901111
1991,IA,Natural Gas,388004
1991,IA,Nuclear,4146811
1991,IA,Petroleum,49892
1991,ID,Total,9428619
1991,ID,Coal,16359
1991,ID,Hydro,8745279
1991,ID,Natural Gas,107243
1991,ID,Petroleum,361
1991,IL,Total,130274345
1991,IL,Coal,55060170
1991,IL,Hydro,134457
1991,IL,Natural Gas,1735870
1991,IL,Nuclear,71866091
1991,IL,Petroleum,910110
1991,IN,Total,101981299
1991,IN,Coal,97457227
1991,IN,Hydro,399051
1991,IN,Natural Gas,1454748
1991,IN,Petroleum,529353
1991,KS,Total,32630743
1991,KS,Coal,23435008
1991,KS,Hydro,10567
1991,KS,Natural Gas,3265529
1991,KS,Nuclear,5858613
1991,KS,Petroleum,60984
1991,KS,Wind,42
1991,KY,Total,75505081
1991,KY,Coal,71713851
