osm_id,lat,lon,name,operator,city,state
79298926,38.9506059,-77.3645496,CoreSite Reston Campus VA1,CoreSite,Reston,VA
79818498,38.9483343,-77.3724298,CoreSite Reston VA3,CoreSite,Reston,
87058670,43.0761287,-70.8080395,,FirstLight,Portsmouth,NH
89784186,39.7455720,-104.9956909,Insurance Exchange Building,,Denver,CO
93210344,39.0586081,-76.9644670,Lincoln Rackhouse Maryland,Lincoln Rackhouse,Silver Spring,MD
95349317,39.3889702,-84.2218527,CyrusOne Cincinnati-Lebanon,,,
95782052,40.7968626,-74.0311403,Equinix NY7 Data Center,Equinix,North Bergen,NJ
99813512,37.4145109,-122.0145563,Equinix SV4,Equinix,Sunnyvale,CA
99861735,44.8071075,-93.3753820,Verizon - Bloomington Network,Verizon,Bloomington,MN
102129663,29.4293706,-98.4869057,H5 Data Centers San Antonio,H5 Data Centers,San Antonio,TX
104082694,41.5879926,-93.6310139,Aureon,,Des Moines,IA
118650988,39.0944683,-94.5794418,,"Patmos Hosting, Inc.",Kansas City,MO
122665255,41.2407307,-73.1472668,Digital Realty New York HVN10,Digital Realty,Trumbull,CT
124088810,41.7721034,-88.2170821,Lincoln Rackhouse,,,
128499684,41.9942413,-87.9619350,Digital Realty CH1,Digital Realty,Elk Grove Village,IL
131874718,44.9721950,-93.1474731,H5 Minneapolis,H5,Saint Paul,MN
131891022,33.4203800,-112.0413257,Iron Mountain Records Storage,,Phoenix,AZ
132746406,37.4458951,-122.1607860,Equinix SV8,Equinix,Palo Alto,CA
138260136,40.0952591,-88.2420314,NCSA Petascale Computing Facility,,Champaign,IL
138643160,39.9127970,-83.7236638,LexisNexus Springfield,,Springfield,
149379943,41.8743036,-87.6299404,Digital Realty ORD11,Digital Realty,Chicago,IL
151179323,33.4943090,-112.0707916,Lumen,Lumen Technologies,Phoenix,AZ
152163711,33.3053366,-111.6716904,L3Harris Technologies Inc,,,
152163722,33.3062801,-111.6717217,AZ Labs,,,
152449872,41.8709439,-87.6401413,Serverfarm CH1,Serverfarm,Chicago,IL
155739337,33.6590546,-112.1111595,Aligned Energy Data Center,,Phoenix,AZ
156520409,41.8536916,-87.6182716,Lakeside Technology Center,,Chicago,IL
157362579,33.6846775,-112.0983398,Flexential Phoenix - Deer Valley,Flexential,Phoenix,AZ
159959672,36.1585898,-95.9886293,TierPoint,,Tulsa,OK
161126131,37.2420719,-121.7817852,Equinix SV5,Equinix,San Jose,CA
166431620,41.3179864,-96.0503485,"Union Pacific Jack Koraleski Technology, Research & Development Center",Union Pacific Railroad,Omaha,NE
168129695,40.4513704,-80.1901663,DataBank Pittsburgh PIT2,,Pittsburgh,PA
169170979,34.9954515,-106.6180334,Molina Healthcare,,,NM
172739950,36.0617389,-115.2132922,Switch12,Switch,,
172739953,36.0599191,-115.2101970,Switch Las Vegas 7,Switch,Enterprise,NV
174242795,42.0007751,-87.9507686,EdgeConneX CHI01,EdgeConneX,Elk Grove Village,IL
178331621,39.3777781,-77.4115448,,,,
187574082,40.4949031,-74.4430949,Verizon Wireline Network Building,,,
190868312,38.6442393,-121.4987627,RagingWire CA3,NTT,Sacramento,CA
191655977,41.2214856,-95.8638220,,,,
192307107,37.7889916,-122.3901367,360 Spear Street Data Center,Digital Realty,San Francisco,CA
193611192,40.7785845,-74.0723242,Equinix New York Secaucus NY5,Equinix,Secaucus,NJ
193611211,40.7764281,-74.0697759,Equinix New York Secaucus NY4,Equinix,Secaucus,NJ
193611216,40.7749028,-74.0689687,Equinix NY3,Equinix,Secaucus,NJ
193611219,40.7772907,-74.0759403,Equinix New York Secaucus NY2,Equinix,Secaucus,NJ
193612533,40.7861640,-74.0691645,Centersquare NYC3 Data Center,Centersquare,Secaucus,NJ
194049551,38.6463763,-121.4862686,QTS Sacramento,Quality Technology Services,Sacramento,CA
195165330,39.2906383,-94.6759163,,,,
195165354,39.2955554,-94.6734862,,,,
195165374,39.2954814,-94.6780114,Black Rock Financial Management,,Kansas City,MO
195169261,39.3024057,-94.6847918,,,,
195664350,36.2625496,-95.9100413,Cherokee Data Center,,Tulsa,OK
199252950,41.7966077,-88.2438232,CyrusOne Chicago Aurora CME,CyrusOne,Aurora,IL
200989527,39.5883237,-104.8324181,Xfinity/Comcast Data Center,,Centennial,CO
203432103,39.1744228,-86.5006878,IU Data Center,Indiana University,Bloomington,IN
204316962,40.5208169,-74.3472226,IO Datacenter,,Edison,NJ
204460681,40.5492135,-74.4582096,DataBank Piscataway EWR2,,,
204460799,40.5468425,-74.4920459,Optimum,,,
204460812,40.5449197,-74.4953594,Equinix,Equinix,,
204460835,40.5472443,-74.4597373,Barclays Datacenter,Barclays,,
204460903,40.5529283,-74.4592038,Digital Realty New York EWR12,Digital Realty,Piscataway Township,NJ
204460950,40.5537931,-74.4571024,Digital Realty New York EWR11,Digital Realty,Piscataway Township,NJ
205724881,47.4950309,-122.2905696,Intergate Seattle East Building 2,,Tukwila,WA
205724885,47.4948597,-122.2881943,Intergate Seattle East Building 1,Sabey,,
205823968,37.3754952,-121.9884063,Equinix SV15,Equinix,Santa Clara,CA
205823970,37.3761243,-121.9886718,Equinix SV16,Equinix,Santa Clara,CA
205823971,37.3765309,-121.9885825,Equinix SV17,Equinix,Santa Clara,CA
205823980,37.3749843,-121.9884742,Equinix SV14,Equinix,Santa Clara,CA
205846843,37.3762614,-121.9706851,CoreSite SV4,CoreSite,,
209073635,37.3770332,-121.9520590,Lumen Santa Clara,Lumen Technologies,,
209073636,37.3750172,-121.9532497,Prime Santa Clara,Prime,,
209073641,37.3758220,-121.9533359,Digital Realty Silicon Valley SJC10,Digital Realty,Santa Clara,CA
209073645,37.3767228,-121.9531439,Colovore,,,
209073647,37.3782874,-121.9581107,Digital Realty Silicon Valley SJC30,Digital Realty,,
209073649,37.3749966,-121.9540769,Digital Realty Silicon Valley SJC15,Digital Realty,Santa Clara,
209073653,37.3749324,-121.9559987,Digital Realty Silicon Valley SJC16,Digital Realty,Santa Clara,CA
209073657,37.3750232,-121.9580962,Digital Realty Silicon Valley SJC29,Digital Realty,Santa Clara,CA
209073658,37.3757986,-121.9551844,Csquare SFO4,Csquare,Santa Clara,CA
209073659,37.3750292,-121.9548775,Prime SANTA CLARA DATA CENTER,Prime,,
209076412,37.3763668,-121.9485649,Digital Realty Silicon Valley SJC11,Digital Realty,Santa Clara,CA
209077298,37.3775848,-121.9506821,Lumen,Lumen Technologies,,
209087373,37.3722213,-121.9482625,Silicon Valley SJC31,Digital Realty,Santa Clara,CA
209105766,37.3797897,-121.9499034,,,Santa Clara,CA
209117217,37.3895364,-121.9619398,Evocative Santa Clara SJC11,,,
209786637,41.8421900,-87.6689434,QTS Chicago,Quality Technology Services,Chicago,IL
210222970,41.8487049,-87.6454577,Iron Mountain Data & Record Storage,Iron Mountain,Chicago,IL
210917861,33.4216928,-112.0343031,Data Storage Centers,,Phoenix,AZ
211832626,42.6857078,-71.2086024,,TierPoint,Andover,MA
214321737,42.6302832,-71.3045615,Markley Data Center,Markley Group,,
215630401,35.1354147,-80.9368313,Flexential Charlotte - South,Flexential,Charlotte,NC
220518160,33.3446197,-111.8992189,Digital Realty Data Center,Digital Realty,Tempe,AZ
221201212,47.6933236,-122.3173172,,Comcast,,
221897579,38.9615728,-77.3774178,Equinix DC97,,,
222672860,38.8150210,-77.6486800,Amazon IAD-55,Amazon Web Services,Haymarket,VA
223783259,47.6177873,-122.3566940,CTI Biopharma,,Seattle,WA
223928497,47.6143555,-122.3388637,Westin Building,Digital Realty,Seattle,WA
224100721,38.7473099,-77.5318265,COPT Data Center,,Manassas,VA
